"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 10, 2020","95.63","96.36","96.99","94.74","64.88M","-0.66%"
"Jan 09, 2020","96.27","99.42","99.76","94.57","142.32M","-2.19%"
"Jan 08, 2020","98.43","94.74","99.70","93.65","156.00M","4.92%"
"Jan 07, 2020","93.81","92.28","94.33","90.67","91.05M","3.88%"
"Jan 06, 2020","90.31","88.09","90.31","88.00","50.79M","1.93%"
"Jan 03, 2020","88.60","88.10","90.80","87.38","88.97M","2.96%"
"Jan 02, 2020","86.05","84.90","86.14","84.34","47.79M","2.85%"
"Dec 31, 2019","83.67","81.00","84.26","80.42","51.46M","0.88%"
"Dec 30, 2019","82.94","85.76","85.80","81.85","63.01M","-3.64%"
"Dec 27, 2019","86.08","87.00","87.06","85.22","49.78M","-0.13%"
"Dec 26, 2019","86.19","85.58","86.70","85.27","53.24M","1.34%"
"Dec 24, 2019","85.05","83.67","85.09","82.54","40.27M","1.44%"
"Dec 23, 2019","83.84","82.36","84.40","82.00","66.66M","3.36%"
"Dec 20, 2019","81.12","82.06","82.60","80.04","73.93M","0.38%"
"Dec 19, 2019","80.81","79.46","81.37","79.30","90.60M","2.77%"
"Dec 18, 2019","78.63","76.13","79.04","76.12","70.68M","3.74%"
"Dec 17, 2019","75.80","75.80","77.10","75.18","42.52M","-0.66%"
"Dec 16, 2019","76.30","72.51","76.72","72.50","91.10M","6.45%"
"Dec 13, 2019","71.68","72.21","73.04","70.93","32.87M","-0.36%"
"Dec 12, 2019","71.94","70.98","72.55","70.65","38.88M","1.98%"
"Dec 11, 2019","70.54","70.38","71.44","70.22","34.60M","1.11%"
"Dec 10, 2019","69.77","67.99","70.15","67.86","44.20M","2.74%"
"Dec 09, 2019","67.91","67.32","68.89","67.02","45.20M","1.08%"
"Dec 06, 2019","67.18","67.00","67.77","66.95","38.09M","1.67%"
"Dec 05, 2019","66.07","66.57","66.88","65.45","18.68M","-0.80%"
"Dec 04, 2019","66.61","67.55","67.57","66.57","27.68M","-0.94%"
"Dec 03, 2019","67.24","66.52","67.58","66.44","33.07M","0.40%"
"Dec 02, 2019","66.97","65.88","67.28","65.74","30.41M","1.49%"
"Nov 29, 2019","65.99","66.22","66.25","65.50","12.33M","-0.41%"
